Numero de procesadores,Tiempo
2,0.195095
4,0.162476
6,0.167621
8,0.166126
10,0.166534
12,0.166645
14,0.166561
16,0.164336
18,0.189468
20,0.188441
22,0.190033
24,0.188686
26,0.189673
28,0.164264
30,0.189633
32,0.175222
34,0.166896
36,0.165990
38,0.166527
40,0.164118
42,0.166652
44,0.164461
2,0.113957
4,0.113901
6,0.113914
8,0.114248
10,0.113981
12,0.114149
14,0.114309
16,0.114220
18,0.155124
20,0.155119
22,0.155067
24,0.155084
26,0.155072
28,0.114176
30,0.155517
32,0.155070
34,0.155394
36,0.155464
38,0.155095
40,0.115329
42,0.115353
44,0.115330
2,0.113819
4,0.114268
6,0.114011
8,0.113940
10,0.113985
12,0.114144
14,0.114160
16,0.114242
18,0.155085
20,0.155131
22,0.155068
24,0.155069
26,0.155074
28,0.114199
30,0.155385
32,0.155072
34,0.155366
36,0.155437
38,0.155090
40,0.115330
42,0.115488
44,0.115489
2,0.113870
4,0.113867
6,0.113934
8,0.114134
10,0.114157
12,0.114107
14,0.114113
16,0.114225
18,0.155080
20,0.155130
22,0.155067
24,0.155072
26,0.155075
28,0.114221
30,0.155565
32,0.155073
34,0.155366
36,0.155433
38,0.155088
40,0.115482
42,0.115330
44,0.115489
2,0.113855
4,0.113852
6,0.113979
8,0.114117
10,0.114114
12,0.114149
14,0.113980
16,0.114118
18,0.155069
20,0.155116
22,0.155071
24,0.155082
26,0.155078
28,0.114252
30,0.155304
32,0.155072
34,0.155377
36,0.155414
38,0.155082
40,0.115437
42,0.115404
44,0.115510
2,0.113949
4,0.113856
6,0.113942
8,0.114154
10,0.114137
12,0.114301
14,0.114152
16,0.114195
18,0.155081
20,0.155124
22,0.155069
24,0.155092
26,0.155078
28,0.114194
30,0.155546
32,0.155070
34,0.155388
36,0.155439
38,0.155075
40,0.115406
42,0.115618
44,0.115482
2,0.113926
4,0.113926
6,0.114160
8,0.114163
10,0.114164
12,0.114161
14,0.114190
16,0.114271
18,0.155083
20,0.155111
22,0.155066
24,0.155078
26,0.155070
28,0.114146
30,0.155577
32,0.155073
34,0.155373
36,0.155413
38,0.155087
40,0.115510
42,0.115531
44,0.115533
2,0.113923
4,0.114012
6,0.114249
8,0.114150
10,0.114217
12,0.114113
14,0.114138
16,0.114175
18,0.155082
20,0.155116
22,0.155067
24,0.155075
26,0.155080
28,0.114271
30,0.155341
32,0.155069
34,0.155370
36,0.155420
38,0.155080
40,0.115428
42,0.115488
44,0.115433
2,0.114117
4,0.114116
6,0.114115
8,0.114119
10,0.114140
12,0.114219
14,0.114230
16,0.114227
18,0.155084
20,0.155130
22,0.155067
24,0.155073
26,0.155077
28,0.114225
30,0.155675
32,0.155076
34,0.155395
36,0.155424
38,0.155082
40,0.115455
42,0.115422
44,0.115412
2,0.114091
4,0.114066
6,0.114043
8,0.114135
10,0.114144
12,0.114159
14,0.114335
16,0.114120
18,0.155077
20,0.155118
22,0.155074
24,0.155079
26,0.155076
28,0.114421
30,0.155301
32,0.155072
34,0.155410
36,0.155423
38,0.155083
40,0.115481
42,0.115547
44,0.115482
