Procesador,tCalculo,tSync,tComm,Chunk
1,1.777244,0.010713,0.000039,1000.000000
3,1.788163,0.000411,0.000039,1000.000000
2,1.518919,0.269953,0.000044,1000.000000
0,1.761794,0.027319,0.000484,1000.000000
1,1.335851,0.011257,0.000020,10000.000000
3,1.347018,0.000045,0.000031,10000.000000
0,1.290754,0.055581,0.000117,10000.000000
2,1.290308,0.056533,0.000022,10000.000000
1,1.280440,0.029982,0.000010,100000.000000
3,1.310377,0.000030,0.000022,100000.000000
2,1.297073,0.013342,0.000010,100000.000000
0,1.263957,0.046378,0.000109,100000.000000
1,1.611737,0.000017,0.000006,1000000.000000
0,1.407163,0.204614,0.000025,1000000.000000
3,1.116736,0.495116,0.000006,1000000.000000
2,1.018345,0.593416,0.000058,1000000.000000
1,0.879195,1.048879,0.000007,2000000.000000
2,1.089517,0.838454,0.000098,2000000.000000
3,1.253800,0.674290,0.000009,2000000.000000
0,1.927851,0.000029,0.000211,2000000.000000
1,1.288639,0.000028,0.000006,1000.000000
0,1.288253,0.000355,0.000038,1000.000000
2,1.287653,0.000952,0.000066,1000.000000
3,1.288124,0.000515,0.000006,1000.000000
1,1.287087,0.003128,0.000008,10000.000000
3,1.289867,0.000243,0.000008,10000.000000
2,1.289973,0.000028,0.000097,10000.000000
0,1.286680,0.003339,0.000155,10000.000000
1,1.280484,0.029798,0.000006,100000.000000
3,1.310243,0.000015,0.000004,100000.000000
0,1.263970,0.046205,0.000098,100000.000000
2,1.297451,0.012887,0.000005,100000.000000
1,1.610669,0.000015,0.000005,1000000.000000
0,1.405659,0.205055,0.000025,1000000.000000
3,1.115809,0.494974,0.000005,1000000.000000
2,1.018364,0.592327,0.000058,1000000.000000
1,0.880456,1.047724,0.000008,2000000.000000
2,1.089424,0.838664,0.000078,2000000.000000
3,1.255261,0.672926,0.000011,2000000.000000
0,1.927967,0.000030,0.000193,2000000.000000
1,1.288886,0.000030,0.000004,1000.000000
3,1.288505,0.000348,0.000007,1000.000000
2,1.288138,0.000734,0.000047,1000.000000
0,1.288351,0.000530,0.000014,1000.000000
1,1.285676,0.004169,0.000004,10000.000000
3,1.288464,0.001318,0.000005,10000.000000
2,1.289635,0.000014,0.000086,10000.000000
0,1.286256,0.003450,0.000122,10000.000000
1,1.281193,0.029981,0.000006,100000.000000
3,1.311126,0.000026,0.000018,100000.000000
0,1.263255,0.047827,0.000096,100000.000000
2,1.296867,0.014364,0.000005,100000.000000
1,1.610956,0.000029,0.000009,1000000.000000
2,1.018396,0.592601,0.000065,1000000.000000
3,1.115835,0.495259,0.000009,1000000.000000
0,1.407041,0.203959,0.000059,1000000.000000
1,0.880219,1.048553,0.000004,2000000.000000
0,1.928560,0.000017,0.000185,2000000.000000
2,1.089387,0.839288,0.000096,2000000.000000
3,1.254818,0.673934,0.000007,2000000.000000
1,1.288780,0.000029,0.000006,1000.000000
2,1.286567,0.002184,0.000058,1000.000000
3,1.288149,0.000654,0.000006,1000.000000
0,1.288402,0.000364,0.000033,1000.000000
1,1.286439,0.004721,0.000004,10000.000000
3,1.288994,0.002075,0.000006,10000.000000
2,1.290961,0.000016,0.000085,10000.000000
0,1.286880,0.004142,0.000110,10000.000000
1,1.281383,0.030011,0.000006,100000.000000
3,1.311368,0.000015,0.000007,100000.000000
0,1.263214,0.048097,0.000099,100000.000000
2,1.297325,0.014136,0.000005,100000.000000
1,1.610692,0.000017,0.000006,1000000.000000
0,1.406912,0.203823,0.000025,1000000.000000
3,1.115704,0.495102,0.000005,1000000.000000
2,1.018353,0.592360,0.000060,1000000.000000
1,0.880174,1.047349,0.000007,2000000.000000
2,1.089460,0.837946,0.000095,2000000.000000
3,1.255451,0.672079,0.000011,2000000.000000
0,1.927309,0.000030,0.000171,2000000.000000
1,1.288676,0.000838,0.000005,1000.000000
2,1.286838,0.002598,0.000120,1000.000000
3,1.288226,0.001269,0.000006,1000.000000
0,1.289330,0.000016,0.000196,1000.000000
1,1.285913,0.005430,0.000004,10000.000000
3,1.288824,0.002414,0.000005,10000.000000
2,1.291085,0.000016,0.000086,10000.000000
0,1.286553,0.004607,0.000108,10000.000000
1,1.281378,0.029741,0.000006,100000.000000
3,1.311093,0.000015,0.000007,100000.000000
0,1.262771,0.048265,0.000104,100000.000000
2,1.295910,0.015277,0.000005,100000.000000
1,1.611070,0.000017,0.000005,1000000.000000
0,1.406909,0.204197,0.000025,1000000.000000
2,1.019213,0.591878,0.000057,1000000.000000
3,1.115708,0.495477,0.000005,1000000.000000
1,0.880210,1.048044,0.000004,2000000.000000
0,1.928056,0.000016,0.000185,2000000.000000
2,1.089932,0.838209,0.000097,2000000.000000
3,1.254025,0.674241,0.000008,2000000.000000
1,1.287517,0.001889,0.000005,1000.000000
2,1.286619,0.002694,0.000117,1000.000000
3,1.287073,0.002321,0.000006,1000.000000
0,1.289217,0.000015,0.000194,1000.000000
1,1.287026,0.004102,0.000005,10000.000000
3,1.289838,0.001184,0.000005,10000.000000
2,1.290897,0.000015,0.000085,10000.000000
0,1.285522,0.005421,0.000118,10000.000000
1,1.281318,0.030081,0.000006,100000.000000
3,1.311376,0.000016,0.000007,100000.000000
0,1.264117,0.047212,0.000087,100000.000000
2,1.296064,0.015412,0.000005,100000.000000
1,1.610776,0.000017,0.000006,1000000.000000
2,1.018669,0.592124,0.000058,1000000.000000
3,1.116005,0.494884,0.000006,1000000.000000
0,1.407179,0.203649,0.000024,1000000.000000
1,0.880404,1.047843,0.000008,2000000.000000
2,1.089378,0.838759,0.000092,2000000.000000
3,1.253991,0.674261,0.000011,2000000.000000
0,1.928038,0.000029,0.000168,2000000.000000
1,1.287702,0.001773,0.000005,1000.000000
2,1.287707,0.001689,0.000117,1000.000000
3,1.287070,0.002387,0.000006,1000.000000
0,1.289293,0.000016,0.000196,1000.000000
1,1.286966,0.004196,0.000004,10000.000000
3,1.289809,0.001249,0.000005,10000.000000
2,1.290931,0.000014,0.000087,10000.000000
0,1.285707,0.005266,0.000120,10000.000000
1,1.280239,0.029977,0.000006,100000.000000
3,1.310191,0.000016,0.000008,100000.000000
0,1.264033,0.046106,0.000099,100000.000000
2,1.296077,0.014208,0.000010,100000.000000
1,1.610895,0.000015,0.000005,1000000.000000
0,1.406680,0.204256,0.000024,1000000.000000
3,1.116796,0.494211,0.000005,1000000.000000
2,1.018266,0.592635,0.000057,1000000.000000
1,0.879993,1.048600,0.000004,2000000.000000
0,1.928391,0.000019,0.000179,2000000.000000
2,1.090523,0.837956,0.000102,2000000.000000
3,1.253855,0.674744,0.000009,2000000.000000
